epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,1542.61,0.53935,0.21362,0.71043,0.01355,0.09389,1,0.91759,0.98611,0.89504,1,0.91759,0.98611,0.96568,0.47859,0.26747,0.32932,0.01611,0,0.000309964,0.000309964,0.000309964
92,1559.97,0.54483,0.18625,0.69192,0.01529,0.20273,0.95615,0.90476,0.98373,0.88719,0.95615,0.90476,0.98373,0.96091,0.48643,0.25006,0.33273,0.01565,0,0.000291879,0.000291879,0.000291879
93,1576.8,0.53325,0.2155,0.71507,0.01308,0.11361,1,0.91915,0.99,0.89387,1,0.91915,0.99,0.97167,0.49679,0.23892,0.32849,0.01531,0,0.000274287,0.000274287,0.000274287
94,1593.94,0.51381,0.18942,0.65977,0.0132,0.10948,0.95413,0.9908,0.98636,0.89211,0.95413,0.9908,0.98636,0.96175,0.52048,0.24068,0.33018,0.01584,0,0.000257198,0.000257198,0.000257198
95,1611.08,0.54741,0.18917,0.75093,0.01399,0.17358,0.80449,0.98018,0.96183,0.85087,0.80449,0.98018,0.96183,0.9302,0.573,0.25695,0.38531,0.01868,0,0.000240625,0.000240625,0.000240625
96,1627.52,0.59437,0.23414,0.80091,0.0152,0.37214,0.83363,0.9545,0.95843,0.84976,0.83363,0.9545,0.95843,0.92977,0.56548,0.27959,0.3833,0.01856,0,0.00022458,0.00022458,0.00022458
97,1644.32,0.55032,0.18235,0.7492,0.01495,0.11488,0.90959,0.95838,0.98717,0.90983,0.90959,0.95838,0.98717,0.96719,0.42218,0.32815,0.3037,0.01367,0,0.000209073,0.000209073,0.000209073
98,1660.93,0.52211,0.21137,0.65772,0.01224,0.11404,0.96285,0.90476,0.98545,0.92047,0.96285,0.90476,0.98545,0.96426,0.4147,0.35444,0.29067,0.01346,0,0.000194115,0.000194115,0.000194115
99,1678.27,0.54411,0.20619,0.71025,0.01346,0.10555,0.98551,0.90476,0.98717,0.92248,0.98551,0.90476,0.98717,0.96803,0.43526,0.3492,0.27662,0.01409,0,0.000179716,0.000179716,0.000179716
100,1695.59,0.52206,0.21847,0.67176,0.01374,0.15357,0.94993,0.90351,0.97958,0.91029,0.94993,0.90351,0.97958,0.95716,0.4342,0.35768,0.29267,0.01389,0,0.000165886,0.000165886,0.000165886
101,1711.82,0.48333,0.17157,0.64073,0.01215,0.10608,0.87387,1,0.98295,0.90898,0.87387,1,0.98295,0.9586,0.44019,0.35457,0.28187,0.01434,0,0.000152635,0.000152635,0.000152635
102,1728.27,0.5331,0.24618,0.67754,0.0135,0.0875,0.86076,1,0.98125,0.88809,0.86076,1,0.98125,0.95475,0.46267,0.3738,0.28707,0.01499,0,0.000139971,0.000139971,0.000139971
103,1744.65,0.50628,0.22983,0.66314,0.01425,0.18937,0.89009,1,0.98217,0.89696,0.89009,1,0.98217,0.95684,0.4348,0.36847,0.27763,0.01408,0,0.000127904,0.000127904,0.000127904
104,1761.33,0.4783,0.16728,0.67402,0.01257,0.08455,0.90825,1,0.98217,0.91758,0.90825,1,0.98217,0.95802,0.41693,0.3896,0.26085,0.01337,0,0.000116441,0.000116441,0.000116441
105,1777.61,0.51187,0.17708,0.71124,0.01378,0.09869,0.92991,1,0.98636,0.92863,0.92991,1,0.98636,0.96244,0.38675,0.38798,0.26288,0.01221,0,0.00010559,0.00010559,0.00010559
106,1794.39,0.44825,0.10649,0.84947,0.01654,0.06559,0.94543,1,0.99091,0.93109,0.94543,1,0.99091,0.96596,0.40034,0.41148,0.23603,0.01249,0,9.53593e-05,9.53593e-05,9.53593e-05
107,1811.01,0.42784,0.11341,0.83171,0.01527,0.08249,0.94781,1,0.99091,0.92448,0.94781,1,0.99091,0.96596,0.40668,0.41889,0.23853,0.0126,0,8.57554e-05,8.57554e-05,8.57554e-05
108,1827.44,0.40626,0.12025,0.79608,0.01387,0.06473,0.9484,1,0.99318,0.92923,0.9484,1,0.99318,0.96849,0.41933,0.40307,0.24813,0.01305,0,7.67849e-05,7.67849e-05,7.67849e-05
109,1844.17,0.46919,0.11006,0.80515,0.01748,0.05986,0.94569,1,0.99091,0.92055,0.94569,1,0.99091,0.96596,0.42323,0.40126,0.24812,0.01322,0,6.8454e-05,6.8454e-05,6.8454e-05
110,1860.53,0.41319,0.13444,0.7966,0.01347,0.09112,0.95233,1,0.99318,0.93156,0.95233,1,0.99318,0.96949,0.42056,0.4309,0.2413,0.01314,0,6.07685e-05,6.07685e-05,6.07685e-05
111,1877.77,0.45104,0.14429,0.82921,0.01553,0.18483,1,0.9775,0.995,0.93154,1,0.9775,0.995,0.97081,0.41546,0.40618,0.2532,0.013,0,5.37334e-05,5.37334e-05,5.37334e-05
112,1894.52,0.44072,0.10963,0.82236,0.01563,0.0639,0.9542,0.99232,0.99318,0.92379,0.9542,0.99232,0.99318,0.96849,0.41325,0.4163,0.25283,0.01301,0,4.73538e-05,4.73538e-05,4.73538e-05
